Estado,Municipio,Parroquia,Maduro,Falcon,Bertucci,Quijada,Valid,Invalid,Total
Zulia,Rosario de Perija,Donaldo Garcia,1489,32,569,0,2090,4,2094
Zulia,Rosario de Perija,El Rosario,10697,1258,3280,15,15250,123,15373
Zulia,Rosario de Perija,Sixto Zambrano,2007,83,561,0,2651,8,2659
Zulia,San Francisco,Domitila Flores,24240,6165,3148,72,33625,188,33813
Zulia,San Francisco,El Bajo,5469,589,323,9,6390,13,6403
Zulia,San Francisco,Francisco Ochoa,12328,3393,1254,42,17017,163,17180
Zulia,San Francisco,Jose Domingo Rus,6616,1462,735,15,8828,82,8910
Zulia,San Francisco,Los Cortijos,6441,989,689,7,8126,34,8160
Zulia,San Francisco,Marcial Hernandez,7155,1068,588,10,8821,54,8875
Zulia,San Francisco,San Francisco,21971,4404,2005,64,28444,270,28714
Zulia,Santa Rita,El Mene,1410,163,85,7,1665,4,1669
Zulia,Santa Rita,Jose Cenovio Urribarri,3725,637,367,27,4756,40,4796
Zulia,Santa Rita,Pedro Cenovio Urribarri,1171,166,246,4,1587,3,1590
Zulia,Santa Rita,Santa Rita,6862,1335,757,81,9035,88,9123
Zulia,Simon Bolivar,Manuel Manrique,4491,1985,1059,28,7563,122,7685
Zulia,Simon Bolivar,Rafael Maria Baralt,4368,1237,725,21,6351,92,6443
Zulia,Simon Bolivar,Rafael Urdaneta,1093,566,170,2,1831,8,1839
Zulia,Sucre,Bobures,1525,376,475,2,2378,15,2393
Zulia,Sucre,El Batey,2051,354,532,2,2939,29,2968
Zulia,Sucre,Gibraltar,2330,620,733,5,3688,8,3696
Zulia,Sucre,Heras,1379,506,226,1,2112,9,2121
Zulia,Sucre,M Arturo Celestino A,1478,755,170,1,2404,15,2419
Zulia,Sucre,Romulo Gallegos,4083,1576,1718,10,7387,92,7479
Zulia,Valmore Rodriguez,La Victoria,4970,2753,1022,19,8764,136,8900
Zulia,Valmore Rodriguez,Rafael Urdaneta,1867,989,321,6,3183,44,3227
Zulia,Valmore Rodriguez,Raul Cuenca,3741,2925,373,16,7055,89,7144
