Estado,Municipio,Parroquia,Chavez,Radonski,Sequera,Bolivar,Reyes,Chirino,Valid,Invalid,Total
Anzoategui,San Juan Capistrano,Boca Uchire,2618,2032,30,1,3,3,4687,108,4795
Anzoategui,Santa Ana,Pueblo Nuevo,444,238,4,1,1,1,689,27,716
Anzoategui,Santa Ana,Santa Ana,2777,2733,41,0,4,2,5557,95,5652
Anzoategui,Simon Rodriguez,El Tigre,42832,47603,622,30,35,25,91147,1979,93126
Anzoategui,Sotillo,Pozuelos,47666,39965,545,51,52,37,88316,1814,90130
Anzoategui,Sotillo,Puerto La Cruz,19287,24950,230,22,25,19,44533,768,45301
Apure,Achaguas,Achaguas,12268,4592,134,2,16,5,17017,342,17359
Apure,Achaguas,Apurito,1802,635,19,2,3,1,2462,52,2514
Apure,Achaguas,El Yagual,1871,671,7,0,2,0,2551,44,2595
Apure,Achaguas,Guachara,1882,620,6,0,0,0,2508,18,2526
Apure,Achaguas,Mucuritas,2074,785,13,1,1,0,2874,58,2932
Apure,Achaguas,Queseras Del Medio,2127,594,9,0,2,1,2733,35,2768
Apure,Biruaca,Biruaca,19146,9408,147,7,10,4,28722,630,29352
Apure,Muñoz,Bruzual,2645,779,20,0,3,1,3448,54,3502
Apure,Muñoz,Mantecal,5385,1683,44,0,3,1,7116,126,7242
Apure,Muñoz,Quintero,571,293,2,0,0,0,866,7,873
Apure,Muñoz,Rincon Hondo,2119,661,13,1,0,1,2795,57,2852
Apure,Muñoz,San Vicente,1054,348,7,0,0,0,1409,11,1420
Apure,Paez,Aramendi,1184,613,9,0,0,1,1807,23,1830
Apure,Paez,El Amparo,3574,2079,64,3,2,3,5725,205,5930
Apure,Paez,Guasdualito,14230,11110,198,11,16,10,25575,658,26233
Apure,Paez,San Camilo,5064,2972,52,0,8,3,8099,168,8267
Apure,Paez,Urdaneta,4624,1235,56,2,7,4,5928,107,6035
Apure,Pedro Camejo,Codazzi,1480,410,5,0,1,0,1896,111,2007
Apure,Pedro Camejo,Cunaviche,4964,2637,26,1,4,0,7632,85,7717
Apure,Pedro Camejo,San Juan De Payara,3724,1948,16,1,1,2,5692,88,5780
Apure,Romulo Gallegos,Elorza,7310,3026,59,0,9,2,10406,211,10617
Apure,Romulo Gallegos,La Trinidad,1792,717,8,1,2,1,2521,64,2585
Apure,San Fernando,El Recreo,10343,3681,89,6,6,1,14126,262,14388
Apure,San Fernando,Penalver,3307,1029,5,2,1,0,4344,41,4385
Apure,San Fernando,San Fernando,38810,24638,365,21,45,11,63890,1395,65285
Apure,San Fernando,Sn Rafael De Atamaica,2638,1194,20,0,2,2,3856,34,3890
Aragua,Bolivar,San Mateo,16390,6404,103,6,13,4,22920,746,23666
Aragua,Camatagua,Camatagua,4697,1980,47,1,3,1,6729,131,6860
Aragua,Camatagua,Carmen De Cura,1456,906,14,0,1,0,2377,77,2454
Aragua,Francisco Linares,Francisco De Miranda,9291,4818,67,12,7,6,14201,332,14533
Aragua,Francisco Linares,Mons Feliciano G,6875,1967,47,5,3,0,8897,142,9039
Aragua,Francisco Linares,Santa Rita,31170,13021,231,31,39,6,44498,1018,45516
Aragua,Girardot,Andres Eloy Blanco,17155,19357,153,22,20,11,36718,492,37210
Aragua,Girardot,Choroni,1980,861,16,0,1,1,2859,51,2910
Aragua,Girardot,Joaquin Crespo,16151,19854,166,28,15,10,36224,559,36783
Aragua,Girardot,Jose Casanova Godoy,19797,20199,169,18,24,3,40210,751,40961
Aragua,Girardot,Las Delicias,15050,19046,146,26,25,8,34301,564,34865
Aragua,Girardot,Los Tacariguas,29475,15776,219,27,20,21,45538,827,46365
Aragua,Girardot,Madre Ma De San Jose,14489,29934,134,25,18,9,44609,525,45134
Aragua,Girardot,Pedro Jose Ovalles,22308,13264,175,25,31,9,35812,635,36447
Aragua,Jose Angel Lamas,Santa Cruz,11485,7445,94,9,15,4,19052,302,19354
Aragua,Jose Felix Rivas,Castor Nieves Rios,14069,14334,118,23,12,2,28558,542,29100
Aragua,Jose Felix Rivas,Juan Vicente Bolivar,19955,14797,178,23,27,13,34993,743,35736
Aragua,Jose Felix Rivas,Las Guacamayas,2507,1121,17,1,1,2,3649,101,3750
Aragua,Jose Felix Rivas,Pao De Zarate,1466,329,6,2,3,1,1807,33,1840
Aragua,Jose Felix Rivas,Zuata,11870,2921,72,6,8,3,14880,334,15214
Aragua,Jose R Revenga,El Consejo,19022,6369,104,12,22,12,25541,528,26069
Aragua,Libertador,Palo Negro,12429,6991,96,18,7,3,19544,373,19917
Aragua,Libertador,San Martin De Porres,19970,9666,145,21,24,7,29833,624,30457
Aragua,Mario B Iragorry,Caña De Azucar,21992,18617,164,30,27,10,40840,640,41480
Aragua,Mario B Iragorry,El Limon,9721,14678,77,23,21,5,24525,374,24899
Aragua,Ocumare De La Costa,Ocumare De La Costa,4057,2432,26,2,2,2,6521,140,6661
Aragua,San Casimiro,Guiripa,869,330,2,0,2,0,1203,32,1235
Aragua,San Casimiro,Ollas De Caramacate,551,137,6,0,1,0,695,14,709
Aragua,San Casimiro,San Casimiro,7960,3793,42,4,8,4,11811,324,12135
Aragua,San Casimiro,Valle Morin,670,268,10,2,0,1,951,21,972
Aragua,San Sebastian,San Sebastian,8062,4849,39,5,11,3,12969,244,13213
Aragua,Santiago Mariño,Alfredo Pacheco M,7899,3750,69,11,5,3,11737,230,11967
Aragua,Santiago Mariño,Arevalo Aponte,14246,4487,91,10,11,5,18850,424,19274
