Estado,Municipio,Parroquia,Hugo Chavez,Henrique Capriles Radonski,Reina Sequera,Maria Bolivar,Luis Reyes,Orlando Chirino,Valid votes,Null votes
Anzoategui,Bolivar,Naricual,4788,3202,73,2,4,2,8071,245
Anzoategui,Bolivar,Caigua,2010,1095,16,2,2,1,3126,90
Anzoategui,Bruzual,Clarines,4772,4991,36,2,3,4,9808,243
Anzoategui,Bruzual,Sabana De Uchire,1627,1595,24,1,4,0,3251,68
Anzoategui,Bruzual,Guanape,2250,1929,25,0,5,1,4210,87
Anzoategui,Cajigal,Onoto,3630,2167,51,1,3,3,5855,128
Anzoategui,Freites,Cantaura,18659,14896,213,6,20,9,33803,641
Anzoategui,Freites,Libertador,962,322,1,0,0,0,1285,5
Anzoategui,Freites,Urica,2379,1497,14,1,3,3,3897,57
Anzoategui,Freites,Santa Rosa,2258,1322,15,0,2,0,3597,53
Anzoategui,Independencia,Mamo,3451,655,19,2,6,1,4134,123
Anzoategui,Libertad,San Mateo,3625,2568,43,0,3,0,6239,121
Anzoategui,Miranda,Pariaguan,10458,7556,142,7,14,3,18180,467
Anzoategui,Miranda,Atapirire,1340,1179,17,0,1,1,2538,85
Anzoategui,Miranda,El Pao,1248,923,12,0,3,0,2186,54
Anzoategui,Monagas,Mapire,1297,871,17,1,3,1,2190,70
Anzoategui,Monagas,Sn Diego De Cabrutica,2284,757,17,0,1,2,3061,75
Anzoategui,Monagas,Zuata,1197,537,8,0,1,0,1743,58
Anzoategui,Pe#Alver,Puerto Piritu,6775,6748,112,5,10,6,13656,308
Anzoategui,Pe#Alver,Sucre,955,660,8,0,0,0,1623,33
Anzoategui,Simon Rodriguez,El Tigre,42832,47603,622,30,35,25,91147,1979
Anzoategui,Sotillo,Pozuelos,47666,39965,545,51,52,37,88316,1814
Anzoategui,Sotillo,Puerto La Cruz,19287,24950,230,22,25,19,44533,768
Anzoategui,Guanta,Chorreron,4356,2612,50,4,2,1,7025,201
Anzoategui,Guanta,Guanta,6373,6417,55,1,2,2,12850,297
Anzoategui,Piritu,Piritu,7885,6172,75,6,9,1,14148,345
Anzoategui,Piritu,San Francisco,346,218,2,0,0,0,566,6
Anzoategui,L/Diego Bautista,El Morro,771,3452,13,1,1,0,4238,30
Anzoategui,Carvajal,Valle Guanape,3806,3284,32,2,4,1,7129,130
Anzoategui,Carvajal,Santa Barbara,478,337,0,0,0,0,815,15
Anzoategui,Santa Ana,Santa Ana,2777,2733,41,0,4,2,5557,95
Anzoategui,Santa Ana,Pueblo Nuevo,444,238,4,1,1,1,689,27
Anzoategui,Mc Gregor,El Chaparro,3086,1337,18,0,4,1,4446,88
Anzoategui,Mc Gregor,Tomas Alfaro Calatrava,1034,181,9,0,3,1,1228,15
Anzoategui,S Juan Capistrano,Boca De Chavez,346,296,4,0,0,0,646,22
Apure,Achaguas,Achaguas,12268,4592,134,2,16,5,17017,342
Apure,Achaguas,Apurito,1802,635,19,2,3,1,2462,52
Apure,Achaguas,Mucuritas,2074,785,13,1,1,0,2874,58
Apure,Achaguas,El Yagual,1871,671,7,0,2,0,2551,44
Apure,Achaguas,Guachara,1882,620,6,0,0,0,2508,18
Apure,Achaguas,Queseras Del Medio,2127,594,9,0,2,1,2733,35
Apure,Mu#Oz,Bruzual,2645,779,20,0,3,1,3448,54
Apure,Mu#Oz,Mantecal,5385,1683,44,0,3,1,7116,126
Apure,Mu#Oz,San Vicente,1054,348,7,0,0,0,1409,11
Apure,Mu#Oz,Rincon Hondo,2119,661,13,1,0,1,2795,57
Apure,Paez,Guasdualito,14230,11110,198,11,16,10,25575,658
Apure,Paez,Aramendi,1184,613,9,0,0,1,1807,23
Apure,Paez,El Amparo,3574,2079,64,3,2,3,5725,205
Apure,Paez,San Camilo,5064,2972,52,0,8,3,8099,168
Apure,Pedro Camejo,San Juan De Payara,3724,1948,16,1,1,2,5692,88
Apure,Pedro Camejo,Cunaviche,4964,2637,26,1,4,0,7632,85
Apure,Pedro Camejo,Codazzi,1480,410,5,0,1,0,1896,111
Apure,Paez,Urdaneta,4624,1235,56,2,7,4,5928,107
Apure,Romulo Gallegos,La Trinidad,1792,717,8,1,2,1,2521,64
